Input Pressure,Input Frequency,Measured Velocity,Calculated Velocity,Estimated Material,Optimal Pressure,Optimal Frequency,Estimated Max Velocity
200,0.33,3.0,3.3730015754699707,Material_Plastic,230,0.4,5.03514289855957
240,0.4,3.8,3.480862855911255,Material_Rubber,250,0.4,4.115999698638916
150,0.17,0.6,0.6106867790222168,Material_Plastic,250,0.4,5.600903034210205
100,0.25,-0.33,-0.39297789335250854,Material_Plastic,220,0.4,4.844274520874023
130,0.33,0.66,0.7332216501235962,Material_Plastic,230,0.4,5.071063041687012
250,0.125,1.25,1.4488178491592407,Material_Rubber,250,0.4,4.084423065185547
250,0.125,1.25,1.4407545328140259,Material_Rubber,250,0.4,4.1539201736450195
160,0.33,1.5,1.3943291902542114,Material_Glass,250,0.4,4.177718639373779
190,0.25,1.75,1.959646463394165,Material_Plastic,240,0.4,5.3604021072387695
210,0.17,0.51,0.5289856195449829,Material_Glass,240,0.4,4.105451583862305
170,0.25,0.25,0.010611549019813538,Material_Paper,240,0.4,1.4221514463424683
230,0.125,2.125,2.263561964035034,Material_Iron,240,0.4,5.29024076461792
140,0.25,2.375,1.652848720550537,Material_Iron,240,0.4,5.275373935699463
100,0.17,0.34,0.24480728805065155,Material_Rubber,250,0.4,3.925628423690796
180,0.4,4.4,3.5908191204071045,Material_Plastic,250,0.4,5.55808162689209
220,0.33,3.5,3.9296209812164307,Material_Plastic,230,0.4,4.9983954429626465
220,0.33,3.63,3.889007329940796,Material_Plastic,240,0.4,5.160157680511475
220,0.33,4.0,4.060919284820557,Material_Iron,250,0.4,5.4940056800842285
120,0.125,0.94,0.08789326250553131,Material_Iron,240,0.4,5.321148872375488
210,0.17,2.3,2.419163942337036,Material_Iron,240,0.4,5.326131820678711
110,0.4,0.12,0.02837108075618744,Material_Iron,240,0.4,5.317159652709961
